Key,Language,Search Engine,Publication Year,Author,Title,Journal,Pages,Issue,Volume,Notes from Screening,Screened by,Study Area Region,Study Area Continent,Studied Taxa - Kingdom,Studied Taxa - Phylum,Studied Taxa - Class,Studied Taxa - Order,Studied Taxa - Family,Studied Taxa - Genus,Study Taxa - Species,Species of Conservation Concern?,Non-Native Species?,Topic Notes (if other),Analyses Notes (if other),Data Type Notes (if other),iNaturalist Data Role,iNaturalist Projects,No tags because,Notes,Entered by,Assigned to,Study Area Country,Paper Topic,Analyses Conducted,iNaturalist Data Type
23L8QC7Y,english,Google Scholar,2020,"Salcedo-Rivera, Gerson A; De la Ossa, Jaime; Ballesteros-Correa, Jesús; González-Maya, José F; Chacón-Pacheco, Julio","Recent confirmed records of Galictis vittata in the department of Sucre, Caribbean region of Colombia",Therya Notes,86–91,NA,1,NA,Flo,Caribbean,South America,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Galictis,vittata,Yes,No,Pandemic,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,Colombia,"Species Distribution/Range, Biodiversity/Population Assessment","Species Distribution, Descriptive",Observation Data
23MG2VU6,english,Google Scholar,2021,"DiBattista, Joseph D; West, Katrina M; Hay, Amanda C; Hughes, Julian M; Fowler, Ashley M; McGrouther, Mark A",Community-based citizen science projects can support the distributional monitoring of fishes,Aquatic Conservation: Marine and Freshwater Ecosystems,3580–3593,12,31,NA,Sam,Cordillera de Talamnca,Oceania,Animalia,Chordata,"Reptilia, Amphibia",NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Main Data Source,Yes,NA,NA,Jackson,Jackson,Australia,"Species Distribution/Range, Biodiversity/Population Assessment","Species Distribution, Population Measure",Observation Data
2448IHSL,english,Google Scholar,2019,"ATHA, DANIEL; GUNDERSON, MIMI; WHITAKER, ERIC; ALVAREZ, REGINA; YOUNG, MICHAEL",First report of Callicarpa dichotoma and Callicarpa japonica (Lamiaceae) spontaneous and potentially invasive in New York and New Jersey,Phytoneuron,1–3,NA,17,NA,Corey,"New York, New Jersey",North America,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa,"dichotoma, japonica",No,Yes,NA,NA,NA,Major Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,Species Distribution/Range,"Species Distribution, Descriptive",Observation Data
24AAQBCS,english,Google Scholar,2020,"Hernawati, D; Chaidir, DM; Meylani, V",The use of iNaturalist on learning courses of zoology vertebrates for prospective biology teachers,Journal of Physics: Conference Series,12064,3,1440,NA,Brittany,Iowa,Asia,Animalia,Arthropoda,Insecta,Neuroptera,NA,NA,NA,No,No,NA,NA,NA,Main Data Source,No,NA,NA,Corey,Corey,Indonesia,Education/Community Engagement,Could Not Determine,None or Could Not Determine
25BQV3WJ,english,Google Scholar,2021,"Rich, Caitlyn; Reilly, Sean B; Sinervo, Barry",Relaxed predation selection on rare morphs of Ensatina salamanders (Caudata: Plethodontidae) promotes a polymorphic population in a novel dune sand habitat,Biological Journal of the Linnean Society,643–654,3,132,obs used,Mark,California,North America,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,eschscholtzii ssp. Eschscholtzii,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Sam,United States of America,Biology/Behavior,"Species Distribution, Image Analysis","Observation Data, Imagery"
25P9GQZY,english,Google Scholar,2020,"Cruz Cordovez, Carlos; Herrera, Ileana; Espinoza, Felipe; Rizzo, Kimberly","New record of a feral population of Lithobates catesbeianus Shaw, 1802 in a protected area (Santay Island) in the Ecuadorian coast",BioInvasions Records,421-433,2,9,"I believe iNaturalist data is the ""non-formal"" data source in figure 4 based on the in-text citation.",Brittany,California,North America,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Brittany,Colleen,United States,"Biodiversity/Population Assessment,
Data Quality/Comparison","Descriptive,
Species Distribution,
Population Measure",Observation Data
25TSASVM,spanish,Google Scholar,2022,"Ángela Echeverry-Galvis, María; Acevedo-Charry, Orlando; Enrique Avendaño, Jorge; Gómez, Camila; Stiles, F Gary; Estela, Felipe A; Cuervo, Andrés M","Lista oficial de las aves de Colombia 2022: Adiciones, cambios taxonÃ³micos y actualizaciones de estado.",Ornitologia Colombiana,99-122,22,NA,NA,Flo,NA,South America,Animalia,Chordata,Aves,Malpighiales,Passifloraceae,Passifloraacuminata,NA,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Flo,Flo,Colombia,Species Distribution/Range,Descriptive,Observation Data
265JQKHT,english,Google Scholar,2018,"van der Heyden, Torsten",Recent records of Tongorma Kirkaldy (Heteroptera: Coreidae: Coreinae: Phyllomorphini) from Botswana and Zambia,Revista Chilena de Entomología,26665,3,44,NA,Thomas,NA,Africa,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Tongorma,"latreillii, tetrapterum",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Levi,Levi,"Botswana, Zambia",Species Distribution/Range,Descriptive,Observation Data
26JFYLMU,english,Google Scholar,2020,"Blair, Jarrett; Weiser, Michael D; Kaspari, Michael; Miller, Matthew; Siler, Cameron; Marshall, Katie E",Robust and simplified machine learning identification of pitfall trap-collected ground beetles at the continental scale,Ecology and evolution,13143–13153,23,10,used inat to train a computer model,Colleen,NA,North America,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Splendeuptychia,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Marina,Marina,NA,Data Quality/Comparison,Image Analysis,"Imagery, Identification Data"
26LAHFRL,english,Google Scholar,2022,"Afonso, Luca; Esler, Karen; Gaertner, Mirijam; Geerts, Sjirk","The invasive alien Hypericum canariense in South Africa: Management, cost, and eradication feasibility",South African Journal of Botany,685–694,1018,146,NA,Brittany,NA,Asia,Animalia,Arthropoda,Insecta,Phasmida,Phyllidae,Cryptophyllium,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Nadja,NA,"Species Distribution/Range,
Species Discovery","Species Distribution,
Descriptive",Imagery
